old_date,DAY OF THE WEEK,business_unit,old_revenue,VOLUME,SPEND PER PERSON,date,revenue
03/07/2025,Thursday,Juntos house,"8,654.52",105,82.42,2025-07-03,8654.52
03/07/2025,Thursday,Juntos boutique,671.00,10,67.1,2025-07-03,671.00
03/07/2025,Thursday,Picadeli,"3,549.73",180,19.72,2025-07-03,3549.73
03/07/2025,Thursday,Juntos farm shop,"1,464.60",54,27.12,2025-07-03,1464.60
03/07/2025,Thursday,Tasting place,"3,311.50",85,38.96,2025-07-03,3311.50
03/07/2025,Thursday,Distribution b2b,"1,943.35",16,121.46,2025-07-03,1943.35
03/07/2025,Thursday,Activities,"1,893.00",0,0,2025-07-03,1893.00
03/07/2025,Thursday,Juntos Products,135.00,0,0,2025-07-03,135.00
03/08/2025,Sunday,Juntos house,"11,143.90",130,85.72,2025-08-03,11143.90
03/08/2025,Sunday,Juntos boutique,610.50,14,43.61,2025-08-03,610.50
03/08/2025,Sunday,Picadeli,0.00,0,0,2025-08-03,0.00
03/08/2025,Sunday,Juntos farm shop,0.00,0,0,2025-08-03,0.00
03/08/2025,Sunday,Tasting place,0.00,0,0,2025-08-03,0.00
03/08/2025,Sunday,Distribution b2b,0.00,0,0,2025-08-03,0.00
03/08/2025,Sunday,Activities,0.00,0,0,2025-08-03,0.00
03/08/2025,Sunday,Juntos Products,0.00,0,0,2025-08-03,0.00
03/09/2025,Wednesday,Juntos house,"6,653.00",83,80.16,2025-09-03,6653.00
03/09/2025,Wednesday,Juntos boutique,419.60,5,83.92,2025-09-03,419.60
03/09/2025,Wednesday,Picadeli,"3,178.00",161,19.74,2025-09-03,3178.00
03/09/2025,Wednesday,Juntos farm shop,"1,243.15",44,28.25,2025-09-03,1243.15
03/09/2025,Wednesday,Tasting place,"1,215.00",45,27,2025-09-03,1215.00
03/09/2025,Wednesday,Distribution b2b,"1,361.18",12,113.43,2025-09-03,1361.18
03/09/2025,Wednesday,Activities,0.00,0,0,2025-09-03,0.00
03/09/2025,Wednesday,Juntos Products,70.22,0,0,2025-09-03,70.22
03/10/2025,Friday,Juntos house,"34,370.00",120,286.42,2025-10-03,34370.00
03/10/2025,Friday,Juntos boutique,0.00,0,0,2025-10-03,0.00
03/10/2025,Friday,Picadeli,"4,092.00",222,18.43,2025-10-03,4092.00
03/10/2025,Friday,Juntos farm shop,"1,049.56",47,22.33,2025-10-03,1049.56
03/10/2025,Friday,Tasting place,"1,335.40",65,20.54,2025-10-03,1335.40
03/10/2025,Friday,Distribution b2b,"1,463.54",16,91.47,2025-10-03,1463.54
03/10/2025,Friday,Activities,0.00,0,0,2025-10-03,0.00
03/10/2025,Friday,Juntos Products,0.00,0,0,2025-10-03,0.00
03/11/2025,Monday,Juntos house,0.00,0,0,2025-11-03,0.00
03/11/2025,Monday,Juntos boutique,0.00,0,0,2025-11-03,0.00
03/11/2025,Monday,Picadeli,"3,823.70",195,19.61,2025-11-03,3823.70
03/11/2025,Monday,Juntos farm shop,656.03,33,19.88,2025-11-03,656.03
03/11/2025,Monday,Tasting place,0.00,0,0,2025-11-03,0.00
03/11/2025,Monday,Distribution b2b,307.48,6,51.25,2025-11-03,307.48
03/11/2025,Monday,Activities,0.00,0,0,2025-11-03,0.00
03/11/2025,Monday,Juntos Products,0.00,0,0,2025-11-03,0.00
03/12/2025,Wednesday,Juntos house,"1,363.00",22,61.95,2025-12-03,1363.00
03/12/2025,Wednesday,Juntos boutique,0.00,0,0,2025-12-03,0.00
03/12/2025,Wednesday,Picadeli,"3,269.00",181,18.06,2025-12-03,3269.00
03/12/2025,Wednesday,Juntos farm shop,399.00,21,19,2025-12-03,399.00
03/12/2025,Wednesday,Tasting place,326.00,23,14.17,2025-12-03,326.00
03/12/2025,Wednesday,Distribution b2b,192.00,3,64,2025-12-03,192.00
03/12/2025,Wednesday,Activities,0.00,0,0,2025-12-03,0.00
03/12/2025,Wednesday,Juntos Products,0.00,0,0,2025-12-03,0.00
04/01/2025,Saturday,Juntos house,"9,458.05",127,74.47,2025-01-04,9458.05
04/01/2025,Saturday,Juntos boutique,729.98,7,104.28,2025-01-04,729.98
04/01/2025,Saturday,Picadeli,"2,494.64",115,21.69,2025-01-04,2494.64
04/01/2025,Saturday,Juntos farm shop,"1,359.16",63,21.57,2025-01-04,1359.16
04/01/2025,Saturday,Tasting place,"4,418.60",83,53.24,2025-01-04,4418.60
04/01/2025,Saturday,Distribution b2b,0.00,0,0,2025-01-04,0.00
04/01/2025,Saturday,Activities,65.00,0,0,2025-01-04,65.00
04/01/2025,Saturday,Juntos Products,26.00,0,0,2025-01-04,26.00
