,,,,,,,,,,,dia,BU,
SIN IVA,Año Fecha,Mes Fecha,Fecha,Serie,Área de Negocio,Centro de coste,Uds.,Importe,BU,,,,Total Día
,2024,02  Febrero,2/2/2024,FVA,ALBARANES DE VENTA,,130.80,630.82 €,Distribution b2b,,3/3/2024,Juntos boutique,297
,2024,02  Febrero,2/2/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,10.00,65.00 €,Distribution b2b,,3/3/2024,Juntos house,5408
,2024,02  Febrero,2/3/2024,AR3F,Factura AR3F,,8.50,94.36 €,Juntos house,,3/4/2024,Distribution b2b,314
,2024,02  Febrero,2/3/2024,AR3G,Tiquet AR3G,,347.00,"4,429.18 €",Juntos house,,3/5/2024,Distribution b2b,412
,2024,02  Febrero,2/3/2024,AT1T,Factura simplificada AT1T,,9.00,374.38 €,Juntos house,,3/5/2024,Juntos Products,35
,2024,02  Febrero,2/3/2024,AR3X,Abono tiquet AR3X,,-7.50,-94.36 €,Juntos house,,3/6/2024,Distribution b2b,1134
,2024,02  Febrero,2/4/2024,AT1T,Factura simplificada AT1T,,24.00,759.83 €,Juntos house,,3/6/2024,Juntos Products,580
,2024,02  Febrero,2/4/2024,AR3I,Invitaciones AR3I,,4.00,0.00 €,Juntos house,,3/6/2024,Juntos boutique,12
,2024,02  Febrero,2/4/2024,AR3G,Tiquet AR3G,,401.50,"4,315.05 €",Juntos house,,3/6/2024,Juntos house,2168
,2024,02  Febrero,2/5/2024,FVA,ALBARANES DE VENTA,,124.40,354.34 €,Distribution b2b,,3/7/2024,Distribution b2b,236
,2024,02  Febrero,2/6/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,1.00,17.50 €,Distribution b2b,,3/7/2024,Juntos Products,274
,2024,02  Febrero,2/6/2024,JVA,ALBARANES DE VENTA,,1.00,45.62 €,Juntos Products,,3/7/2024,Juntos boutique,83
,2024,02  Febrero,2/6/2024,FVJ,FACTURA DE VENTA JUNTOS,,5.82,16.51 €,Distribution b2b,,3/7/2024,Juntos house,2506
,2024,02  Febrero,2/6/2024,JVF,FACTURAS DE VENTA,,1.00,45.62 €,Juntos Products,,3/8/2024,Distribution b2b,4833
,2024,02  Febrero,2/6/2024,FVA,ALBARANES DE VENTA,,112.00,333.27 €,Distribution b2b,,3/8/2024,Juntos boutique,994
,2024,02  Febrero,2/7/2024,AT1T,Factura simplificada AT1T,,2.00,60.33 €,Juntos house,,3/8/2024,Juntos house,2914
,2024,02  Febrero,2/7/2024,AR3X,Abono tiquet AR3X,,-13.00,-206.55 €,Juntos house,,3/9/2024,Juntos boutique,78
,2024,02  Febrero,2/7/2024,AVF,FACTURAS DE VENTA,,2.00,936.36 €,Juntos house,,3/9/2024,Juntos house,5456
,2024,02  Febrero,2/7/2024,FVJ,FACTURA DE VENTA JUNTOS,,1.00,690.00 €,Distribution b2b,,3/10/2024,Juntos boutique,179
,2024,02  Febrero,2/7/2024,AR3I,Invitaciones AR3I,,10.00,0.00 €,Juntos house,,3/10/2024,Juntos house,4633
,2024,02  Febrero,2/7/2024,FVA,ALBARANES DE VENTA,,109.75,424.44 €,Distribution b2b,,3/11/2024,Distribution b2b,34
,2024,02  Febrero,2/7/2024,AR3G,Tiquet AR3G,,153.50,"2,257.27 €",Juntos house,,3/12/2024,Distribution b2b,405
,2024,02  Febrero,2/7/2024,JVF,FACTURAS DE VENTA,,1.00,35.00 €,Juntos Products,,3/12/2024,Juntos Products,372
,2024,02  Febrero,2/7/2024,AR3F,Factura AR3F,,14.00,206.55 €,Juntos house,,3/13/2024,Distribution b2b,352
,2024,02  Febrero,2/7/2024,AT1F,Factura de venta AT1F,,11.00,148.79 €,Juntos house,,3/13/2024,Juntos Products,35
,2024,02  Febrero,2/8/2024,AR3G,Tiquet AR3G,,119.50,"1,631.45 €",Juntos house,,3/13/2024,Juntos boutique,581
,2024,02  Febrero,2/8/2024,AT1T,Factura simplificada AT1T,,10.00,530.11 €,Juntos house,,3/13/2024,Juntos house,3169
,2024,02  Febrero,2/8/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,11.80,135.96 €,Distribution b2b,,3/14/2024,Distribution b2b,246
,2024,02  Febrero,2/8/2024,AR3I,Invitaciones AR3I,,2.00,0.00 €,Juntos house,,3/14/2024,Juntos boutique,404
,2024,02  Febrero,2/8/2024,FVA,ALBARANES DE VENTA,,174.60,601.14 €,Distribution b2b,,3/14/2024,Juntos house,2113
,2024,02  Febrero,2/8/2024,JVF,FACTURAS DE VENTA,,1.00,35.00 €,Juntos Products,,3/15/2024,Distribution b2b,525
,2024,02  Febrero,2/9/2024,AT1T,Factura simplificada AT1T,,1.00,15.70 €,Juntos house,,3/15/2024,Juntos Products,70
,2024,02  Febrero,2/9/2024,AR3G,Tiquet AR3G,,198.00,"2,908.27 €",Juntos house,,3/15/2024,Juntos boutique,54
,2024,02  Febrero,2/9/2024,FVA,ALBARANES DE VENTA,,89.60,375.22 €,Distribution b2b,,3/15/2024,Juntos house,2367
,2024,02  Febrero,2/9/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,2.00,35.00 €,Distribution b2b,,3/16/2024,Juntos boutique,776
,2024,02  Febrero,2/9/2024,AVF,FACTURAS DE VENTA,,-1.00,-181.82 €,Juntos house,,3/16/2024,Juntos house,6554
,2024,02  Febrero,2/10/2024,AR3G,Tiquet AR3G,,275.00,"3,541.27 €",Juntos house,,3/17/2024,Juntos boutique,455
,2024,02  Febrero,2/10/2024,AT1T,Factura simplificada AT1T,,10.00,253.22 €,Juntos house,,3/17/2024,Juntos house,5266
,2024,02  Febrero,2/11/2024,AR3G,Tiquet AR3G,,313.50,"4,088.55 €",Juntos house,,3/18/2024,Distribution b2b,131
,2024,02  Febrero,2/11/2024,AT1T,Factura simplificada AT1T,,16.00,297.02 €,Juntos house,,3/18/2024,Juntos Products,35
,2024,02  Febrero,2/12/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,1.00,40.00 €,Distribution b2b,,3/19/2024,Distribution b2b,661
